category,title
writing,필사 모임 모집합니다
writing,독서 모임 인원 모집합니다
writing,일주일에 한 권 필사 하실 분~
writing,인문학 독서 모임
writing,"한달에 한 권, 함께 독서해요"
writing,독서 토론 모임 하실 분
writing,같이 독서해요
sports,테니스 개인 레슨
sports,주말마다 같이 배드민턴 치실 분!
sports,배드민턴 동아리 부원 모집
sports,산책 같이 하실 분~
sports,산책 같이 할 자취생 덕우!
sports,배드민턴 동호회 추가모집
sports,주말에 등산 가실 분
language,영어 개인과외 모집합니다.
language,영어 단체과외 하실 분
language,영어회화 과외 모집해요
language,영어 화상과외 모집합니다
language,전화영어 수강생 모집
language,주 1회 중국어 과외 모집
language,중국어 회화 과외 모집
language,일본어 과외 모집
language,일본어 단체 과외 학생 모집
language,일본어 회화 공부하실분~
language,일본어 히라가나부터 같이 공부하실 분
language,일본어 같이 공부해요
language,영어 회화 같이 공부하실 덕우!
music,통기타 레슨
music,통기타 동아리 부원 모집
music,통기타 같이 배워보실 분
music,화성악 같이 공부하실 분 구해요
study,영어 공부 함께해요!
study,중국어 스터디 모집합니다
study,영어 단어 스터디 같이 해요
study,중국어 단어 스터디 모집해요!
study,중국어 자격증 같이 공부하실 분!
study,컴활 1급 실기 강의 같이 들어요
study,컴활 2급 같이 공부해요
study,컴활 1급 자격증 같이 따실 분~
study,컴활 2급 자료 공유해요!
study,컴활 2급 같이 공부해요!
study,토익 스터디 구해요
study,토익 900 목표로 같이 공부하실 분
study,같이 토익 공부해요
study,토익 800+ 강의 같이 들으실 분
study,토익 강의 같이 들어요
study,평일 아침 토익 스터디 하실 분
study,주말 토익 스터디원 추가 모집
study,토익 공부할 3학년 찾아요
study,토익 같이 공부할 21학번 구해요!!
study,토익 학원 같이 다니실 분?
study,도서관에서 같이 토익 공부해요!
study,덕성 멘토링 참여하실 멘티 모집
study,알고리즘 스터디 모집합니다
study,데이터분석 같이 공부하실분!
study,한국사 같이 공부해요
study,토익 러닝투게더 같이 하실 분
programming,파이썬 복습하실 전공생 모집
programming,같이 파이썬 공부할 1학년 덕우 찾습니다!
programming,파이썬 코딩테스트 같이 준비해요
programming,자바 코딩테스트 같이 하실 분
programming,자바 공부할 2학년 전공생 찾아요
programming,비전공자 자바 공부하실 분?
programming,자바 강의 같이 들으실 분 구해요
programming,씨언어 같이 공부할 22학번 구해요
programming,파이썬 같이 공부하실 비전공자
programming,개발 동아리 2기 부원을 모집합니다.
programming,비전공자 씨언어 같이 공부해요
programming,파이썬 공부하실 인문대 덕우님
programming,씨언어 복습할 3학년 덕우 찾아요
programming,비전공자 개발 동아리 부원 모집
programming,신규 개발 동아리 부원 모집합니다
programming,컴퓨터공학 개발 동아리 부원 모집
programming,소프트웨어 개발 동아리 부원 모집
programming,사이버보안 개발 동아리 부원 모집
programming,IT미디어공학 개발 동아리 부원 모집
art,캘리그라피 원데이 클래스
art,캘리그라피 대신 써드려요~!
art,가죽공예 원데이 클래스
art,덕우네 반려동물을 일러스트로
art,도안부터 시작하는 레진공예
art,근화학교 책갈피(비공식 굿즈) 공구
art,캘리그라피 소모임 인원 모집
cooking,주말에 같이 베이킹 하실 덕우님!
cooking,베이킹 클래스 수강생 모집
cooking,케이크 원데이 클래스
etc,스냅 사진 찾고 계신 분~
etc,스냅 사진 포트폴리오 모델 구합니다.
etc,사진 촬영의 모든 것
etc,사진 찍어드려요
etc,사진 촬영 모델 모집합니다
etc,사진 촬영 배워보실 분?
etc,필름카메라 출사 동아리 부원 모집
etc,필름카메라 사진 촬영 모델 구합니다
etc,사진 보정 해드립니다
etc,"포토샵, 일러스트 같이 공부하실 분"
etc,사진 보정 배워보실 분?
etc,포토샵 보정 필요하신 분
etc,덕새 굿즈 나눔합니다
etc,자취방 청소해드려요
